date,hub,vehicle_type,deliveries_count,on_time_pct,avg_delivery_time_min,fuel_cost_sar,customer_rating
2025-01-05,Madinah-Hub,Van,194,90.7,36.7,833.85,4.25
2025-01-05,Madinah-Hub,Truck,48,90.7,48.3,346.39,4.34
2025-01-06,Riyadh-Hub,Motorbike,776,89.3,27.2,1634.5,4.3
2025-01-06,Riyadh-Hub,Van,451,89.3,37.3,1936.65,3.92
2025-01-06,Riyadh-Hub,Truck,127,89.3,41.4,957.17,4.47
2025-01-06,Jeddah-Hub,Motorbike,588,92.3,34.6,1220.6,3.54
2025-01-06,Jeddah-Hub,Van,388,92.3,28.7,1563.49,4.06
2025-01-06,Jeddah-Hub,Truck,106,92.3,49.2,835.38,4.44
2025-01-06,Dammam-Hub,Motorbike,351,90.2,28.8,708.18,3.91
2025-01-06,Dammam-Hub,Van,218,90.2,28.9,910.24,4.26
2025-01-06,Dammam-Hub,Truck,59,90.2,43.5,456.59,4.27
2025-01-06,Makkah-Hub,Motorbike,403,87.3,28.1,885.36,3.54
2025-01-06,Makkah-Hub,Van,248,87.3,32.2,1056.2,4.12
2025-01-06,Makkah-Hub,Truck,76,87.3,59.7,572.8,3.77
2025-01-06,Madinah-Hub,Motorbike,304,85.7,20.5,625.31,3.73
2025-01-06,Madinah-Hub,Van,175,85.7,32.4,726.37,4.2
2025-01-06,Madinah-Hub,Truck,56,85.7,54.1,410.58,3.7
2025-01-07,Riyadh-Hub,Motorbike,808,92.9,22.2,1788.63,4.02
2025-01-07,Riyadh-Hub,Van,482,92.9,41.3,2013.22,3.81
2025-01-07,Riyadh-Hub,Truck,126,92.9,49.2,972.23,4.13
2025-01-07,Jeddah-Hub,Motorbike,622,89.0,28.7,1366.92,4.29
2025-01-07,Jeddah-Hub,Van,414,89.0,29.5,1801.73,3.7
2025-01-07,Jeddah-Hub,Truck,101,89.0,42.9,742.11,4.1
2025-01-07,Dammam-Hub,Motorbike,373,88.6,27.3,794.21,4.69
2025-01-07,Dammam-Hub,Van,205,88.6,27.4,885.38,4.68
2025-01-07,Dammam-Hub,Truck,67,88.6,53.3,490.34,3.94
2025-01-07,Makkah-Hub,Motorbike,455,81.5,26.7,932.9,4.1
2025-01-07,Makkah-Hub,Van,288,81.5,27.2,1248.29,3.76
2025-01-07,Makkah-Hub,Truck,73,81.5,52.9,533.88,4.13
2025-01-07,Madinah-Hub,Motorbike,263,89.0,29.1,535.07,4.14
2025-01-07,Madinah-Hub,Van,168,89.0,36.7,723.6,3.75
2025-01-07,Madinah-Hub,Truck,55,89.0,54.8,433.98,4.08
2025-01-08,Riyadh-Hub,Motorbike,814,92.8,24.8,1687.84,3.89
2025-01-08,Riyadh-Hub,Van,492,92.8,25.4,1993.03,4.2
2025-01-08,Riyadh-Hub,Truck,142,92.8,44.6,1122.51,4.8
2025-01-08,Jeddah-Hub,Motorbike,626,86.7,14.1,1343.97,4.48
2025-01-08,Jeddah-Hub,Van,405,86.7,39.5,1667.33,4.37
2025-01-08,Jeddah-Hub,Truck,104,86.7,49.1,760.61,3.93
2025-01-08,Dammam-Hub,Motorbike,329,91.6,27.1,725.94,4.45
2025-01-08,Dammam-Hub,Van,216,91.6,36.8,886.82,4.77
2025-01-08,Dammam-Hub,Truck,64,91.6,43.2,493.13,3.67
2025-01-08,Makkah-Hub,Motorbike,399,83.9,31.6,850.05,3.93
2025-01-08,Makkah-Hub,Van,247,83.9,36.8,1076.74,3.8
2025-01-08,Makkah-Hub,Truck,70,83.9,56.1,532.25,4.1
2025-01-08,Madinah-Hub,Motorbike,312,90.9,32.2,644.62,4.51
2025-01-08,Madinah-Hub,Van,176,90.9,31.5,713.06,4.19
2025-01-08,Madinah-Hub,Truck,50,90.9,49.6,391.37,4.09
2025-01-09,Riyadh-Hub,Motorbike,687,92.7,33.9,1457.1,4.23
2025-01-09,Riyadh-Hub,Van,491,92.7,34.5,2146.59,3.78
2025-01-09,Riyadh-Hub,Truck,138,92.7,54.6,1017.92,3.88
2025-01-09,Jeddah-Hub,Motorbike,629,88.2,31.6,1288.66,4.09
2025-01-09,Jeddah-Hub,Van,386,88.2,35.9,1573.61,4.11
2025-01-09,Jeddah-Hub,Truck,114,88.2,45.9,853.1,3.55
2025-01-09,Dammam-Hub,Motorbike,339,91.1,25.0,743.7,4.46
2025-01-09,Dammam-Hub,Van,222,91.1,34.7,895.99,4.14
2025-01-09,Dammam-Hub,Truck,55,91.1,63.3,423.04,4.4
2025-01-09,Makkah-Hub,Motorbike,459,87.3,26.8,967.88,4.37
2025-01-09,Makkah-Hub,Van,263,87.3,41.6,1131.95,4.51
2025-01-09,Makkah-Hub,Truck,76,87.3,50.8,596.47,4.43
2025-01-09,Madinah-Hub,Motorbike,311,89.3,28.1,683.51,4.01
2025-01-09,Madinah-Hub,Van,190,89.3,35.0,823.57,4.23
2025-01-09,Madinah-Hub,Truck,48,89.3,52.5,350.05,4.45
2025-01-10,Riyadh-Hub,Motorbike,639,92.5,19.3,1397.18,4.64
2025-01-10,Riyadh-Hub,Van,405,92.5,38.2,1721.28,4.42
2025-01-10,Riyadh-Hub,Truck,116,92.5,41.9,870.63,3.69
2025-01-10,Jeddah-Hub,Motorbike,437,87.7,31.6,891.18,3.98
2025-01-10,Jeddah-Hub,Van,297,87.7,35.1,1314.79,4.11
2025-01-10,Jeddah-Hub,Truck,83,87.7,49.0,633.31,3.79
2025-01-10,Dammam-Hub,Motorbike,295,98.3,23.4,646.18,3.89
2025-01-10,Dammam-Hub,Van,179,98.3,28.4,766.38,3.92
2025-01-10,Dammam-Hub,Truck,44,98.3,50.7,328.97,5.0
2025-01-10,Makkah-Hub,Motorbike,366,81.9,20.2,787.93,3.98
2025-01-10,Makkah-Hub,Van,222,81.9,37.5,979.45,3.87
2025-01-10,Makkah-Hub,Truck,68,81.9,50.4,493.13,3.64
2025-01-10,Madinah-Hub,Motorbike,207,90.6,23.3,424.02,3.9
2025-01-10,Madinah-Hub,Van,147,90.6,28.6,616.64,3.97
2025-01-10,Madinah-Hub,Truck,38,90.6,48.6,295.38,3.46
2025-01-11,Riyadh-Hub,Motorbike,813,89.6,35.2,1723.47,4.1
2025-01-11,Riyadh-Hub,Van,474,89.6,42.0,2010.0,3.94
2025-01-11,Riyadh-Hub,Truck,147,89.6,48.8,1152.5,4.12
2025-01-11,Jeddah-Hub,Motorbike,659,85.9,27.4,1377.79,3.9
2025-01-11,Jeddah-Hub,Van,412,85.9,35.2,1787.08,4.06
2025-01-11,Jeddah-Hub,Truck,108,85.9,48.9,822.92,4.11
2025-01-11,Dammam-Hub,Motorbike,309,93.4,17.8,630.16,3.99
2025-01-11,Dammam-Hub,Van,226,93.4,36.9,965.66,3.68
2025-01-11,Dammam-Hub,Truck,60,93.4,44.0,439.05,4.02
2025-01-11,Makkah-Hub,Motorbike,421,89.0,28.9,908.36,4.04
2025-01-11,Makkah-Hub,Van,246,89.0,32.3,1090.83,4.22
2025-01-11,Makkah-Hub,Truck,71,89.0,57.7,515.01,4.54
2025-01-11,Madinah-Hub,Motorbike,274,94.5,25.8,562.4,3.97
2025-01-11,Madinah-Hub,Van,178,94.5,30.9,734.74,4.15
2025-01-11,Madinah-Hub,Truck,52,94.5,40.4,399.67,3.97
2025-01-12,Riyadh-Hub,Motorbike,805,94.0,17.8,1675.58,4.37
2025-01-12,Riyadh-Hub,Van,495,94.0,29.0,2057.19,4.01
2025-01-12,Riyadh-Hub,Truck,140,94.0,53.7,1091.43,3.78
2025-01-12,Jeddah-Hub,Motorbike,631,88.2,14.3,1294.34,4.35
2025-01-12,Jeddah-Hub,Van,355,88.2,35.4,1469.05,3.86
2025-01-12,Jeddah-Hub,Truck,118,88.2,47.5,921.98,4.64
2025-01-12,Dammam-Hub,Motorbike,320,92.6,22.3,695.83,4.32
2025-01-12,Dammam-Hub,Van,224,92.6,28.4,942.9,4.14
2025-01-12,Dammam-Hub,Truck,65,92.6,42.4,509.03,4.39
2025-01-12,Makkah-Hub,Motorbike,389,86.4,36.9,859.65,4.25
2025-01-12,Makkah-Hub,Van,251,86.4,31.7,1100.28,3.72
2025-01-12,Makkah-Hub,Truck,74,86.4,40.8,564.54,4.26
2025-01-12,Madinah-Hub,Motorbike,288,89.8,29.7,626.74,3.84
2025-01-12,Madinah-Hub,Van,178,89.8,37.5,724.5,3.46
2025-01-12,Madinah-Hub,Truck,52,89.8,50.6,375.1,4.43
2025-01-13,Riyadh-Hub,Motorbike,738,93.7,35.3,1547.05,4.59
2025-01-13,Riyadh-Hub,Van,425,93.7,31.9,1870.08,3.95
2025-01-13,Riyadh-Hub,Truck,148,93.7,46.4,1071.74,4.33
2025-01-13,Jeddah-Hub,Motorbike,575,87.9,22.9,1280.88,4.36
2025-01-13,Jeddah-Hub,Van,376,87.9,39.2,1652.77,3.83
2025-01-13,Jeddah-Hub,Truck,115,87.9,55.6,854.92,4.03
2025-01-13,Dammam-Hub,Motorbike,320,95.1,21.4,687.72,4.19
2025-01-13,Dammam-Hub,Van,214,95.1,36.9,913.48,3.67
2025-01-13,Dammam-Hub,Truck,63,95.1,43.2,471.17,4.54
2025-01-13,Makkah-Hub,Motorbike,471,86.1,27.7,988.36,3.13
2025-01-13,Makkah-Hub,Van,296,86.1,39.8,1234.33,4.07
2025-01-13,Makkah-Hub,Truck,73,86.1,54.5,531.06,3.62
2025-01-13,Madinah-Hub,Motorbike,283,86.1,20.7,599.1,3.97
2025-01-13,Madinah-Hub,Van,186,86.1,30.8,804.26,3.75
2025-01-13,Madinah-Hub,Truck,53,86.1,46.4,388.32,3.8
2025-01-14,Riyadh-Hub,Motorbike,801,93.4,24.9,1757.0,4.45
2025-01-14,Riyadh-Hub,Van,426,93.4,30.9,1858.3,4.24
2025-01-14,Riyadh-Hub,Truck,135,93.4,52.0,989.21,3.75
2025-01-14,Jeddah-Hub,Motorbike,628,87.8,31.8,1328.53,3.48
2025-01-14,Jeddah-Hub,Van,366,87.8,34.0,1517.31,4.0
2025-01-14,Jeddah-Hub,Truck,106,87.8,49.3,798.27,3.76
2025-01-14,Dammam-Hub,Motorbike,346,96.6,17.2,765.04,4.52
2025-01-14,Dammam-Hub,Van,218,96.6,19.6,934.67,4.31
2025-01-14,Dammam-Hub,Truck,62,96.6,47.5,481.69,4.15
2025-01-14,Makkah-Hub,Motorbike,403,85.3,31.3,883.03,4.19
2025-01-14,Makkah-Hub,Van,254,85.3,31.4,1066.41,4.04
2025-01-14,Makkah-Hub,Truck,80,85.3,52.2,635.43,3.47
2025-01-14,Madinah-Hub,Motorbike,273,94.0,23.1,571.87,4.27
2025-01-14,Madinah-Hub,Van,171,94.0,39.3,713.91,4.76
2025-01-14,Madinah-Hub,Truck,52,94.0,47.7,392.5,4.41
2025-01-15,Riyadh-Hub,Motorbike,799,86.0,30.7,1749.41,4.11
2025-01-15,Riyadh-Hub,Van,516,86.0,32.9,2092.87,4.24
2025-01-15,Riyadh-Hub,Truck,122,86.0,49.0,951.6,4.34
2025-01-15,Jeddah-Hub,Motorbike,664,90.7,30.8,1347.16,3.47
2025-01-15,Jeddah-Hub,Van,356,90.7,31.4,1589.26,4.12
2025-01-15,Jeddah-Hub,Truck,111,90.7,45.6,844.49,3.78
2025-01-15,Dammam-Hub,Motorbike,313,91.2,28.9,661.28,4.02
2025-01-15,Dammam-Hub,Van,225,91.2,28.4,910.58,4.15
2025-01-15,Dammam-Hub,Truck,62,91.2,54.9,492.56,4.18
2025-01-15,Makkah-Hub,Motorbike,440,85.0,32.3,930.19,4.07
2025-01-15,Makkah-Hub,Van,294,85.0,41.9,1238.47,3.85
2025-01-15,Makkah-Hub,Truck,78,85.0,45.6,603.92,4.69
2025-01-15,Madinah-Hub,Motorbike,305,90.4,32.7,668.66,4.36
2025-01-15,Madinah-Hub,Van,184,90.4,33.5,799.58,4.27
2025-01-15,Madinah-Hub,Truck,53,90.4,53.0,390.49,4.18
2025-01-16,Riyadh-Hub,Motorbike,712,92.2,21.1,1468.62,4.24
2025-01-16,Riyadh-Hub,Van,483,92.2,36.4,2048.81,4.32
2025-01-16,Riyadh-Hub,Truck,135,92.2,52.4,1053.96,4.71
2025-01-16,Jeddah-Hub,Motorbike,544,86.2,22.9,1112.89,4.19
2025-01-16,Jeddah-Hub,Van,383,86.2,32.1,1565.67,3.6
2025-01-16,Jeddah-Hub,Truck,104,86.2,45.2,750.54,4.37
2025-01-16,Dammam-Hub,Motorbike,371,93.1,27.5,814.1,4.03
2025-01-16,Dammam-Hub,Van,235,93.1,28.1,1013.36,4.59
2025-01-16,Dammam-Hub,Truck,61,93.1,50.3,451.49,3.96
2025-01-16,Makkah-Hub,Motorbike,414,86.1,25.8,909.02,4.15
2025-01-16,Makkah-Hub,Van,266,86.1,33.5,1083.87,3.63
2025-01-16,Makkah-Hub,Truck,71,86.1,50.6,554.6,4.15
2025-01-16,Madinah-Hub,Motorbike,271,88.1,26.3,558.73,4.48
2025-01-16,Madinah-Hub,Van,164,88.1,34.5,722.1,4.21
2025-01-16,Madinah-Hub,Truck,48,88.1,50.6,349.35,4.46
2025-01-17,Riyadh-Hub,Motorbike,576,87.1,30.3,1232.54,3.83
2025-01-17,Riyadh-Hub,Van,367,87.1,28.0,1559.45,4.26
2025-01-17,Riyadh-Hub,Truck,104,87.1,52.7,766.95,4.25
2025-01-17,Jeddah-Hub,Motorbike,517,85.8,24.4,1131.47,4.39
2025-01-17,Jeddah-Hub,Van,321,85.8,30.6,1425.2,4.31
2025-01-17,Jeddah-Hub,Truck,93,85.8,50.0,675.55,4.54
2025-01-17,Dammam-Hub,Motorbike,248,94.0,23.9,509.4,4.18
2025-01-17,Dammam-Hub,Van,179,94.0,34.3,774.33,4.47
2025-01-17,Dammam-Hub,Truck,51,94.0,49.4,404.63,4.3
2025-01-17,Makkah-Hub,Motorbike,319,80.5,29.5,657.28,4.03
2025-01-17,Makkah-Hub,Van,204,80.5,41.8,896.43,3.58
2025-01-17,Makkah-Hub,Truck,67,80.5,51.2,525.11,3.3
2025-01-17,Madinah-Hub,Motorbike,210,93.2,22.2,455.04,3.77
2025-01-17,Madinah-Hub,Van,142,93.2,35.9,611.66,4.6
2025-01-17,Madinah-Hub,Truck,38,93.2,42.1,298.63,4.02
2025-01-18,Riyadh-Hub,Motorbike,716,95.8,18.8,1459.77,4.59
2025-01-18,Riyadh-Hub,Van,483,95.8,27.4,2092.23,3.85
2025-01-18,Riyadh-Hub,Truck,142,95.8,41.6,1068.36,4.31
2025-01-18,Jeddah-Hub,Motorbike,655,89.5,20.8,1344.63,4.16
2025-01-18,Jeddah-Hub,Van,392,89.5,32.8,1683.31,4.4
2025-01-18,Jeddah-Hub,Truck,109,89.5,44.1,863.59,4.06
2025-01-18,Dammam-Hub,Motorbike,320,91.5,25.0,690.83,4.44
2025-01-18,Dammam-Hub,Van,222,91.5,28.5,929.92,3.9
2025-01-18,Dammam-Hub,Truck,61,91.5,48.2,472.14,4.71
2025-01-18,Makkah-Hub,Motorbike,435,83.9,23.6,887.71,4.25
2025-01-18,Makkah-Hub,Van,294,83.9,33.2,1250.26,3.56
2025-01-18,Makkah-Hub,Truck,76,83.9,52.7,549.45,3.95
2025-01-18,Madinah-Hub,Motorbike,276,85.7,29.5,590.07,4.42
2025-01-18,Madinah-Hub,Van,170,85.7,41.2,739.37,4.28
2025-01-18,Madinah-Hub,Truck,55,85.7,51.5,433.78,4.46
2025-01-19,Riyadh-Hub,Motorbike,682,89.6,17.4,1437.78,4.39
2025-01-19,Riyadh-Hub,Van,434,89.6,25.2,1781.38,4.02
2025-01-19,Riyadh-Hub,Truck,137,89.6,46.7,1026.48,4.53
2025-01-19,Jeddah-Hub,Motorbike,580,85.8,20.0,1296.31,4.15
2025-01-19,Jeddah-Hub,Van,377,85.8,34.5,1601.34,4.23
2025-01-19,Jeddah-Hub,Truck,103,85.8,56.8,779.18,4.18
2025-01-19,Dammam-Hub,Motorbike,308,92.6,37.2,627.0,3.72
2025-01-19,Dammam-Hub,Van,237,92.6,37.4,960.42,4.31
2025-01-19,Dammam-Hub,Truck,62,92.6,55.7,483.22,3.99
2025-01-19,Makkah-Hub,Motorbike,448,80.6,23.8,935.86,3.95
2025-01-19,Makkah-Hub,Van,249,80.6,38.8,1041.47,3.94
2025-01-19,Makkah-Hub,Truck,83,80.6,46.8,598.76,4.17
2025-01-19,Madinah-Hub,Motorbike,272,89.1,15.3,597.5,4.24
2025-01-19,Madinah-Hub,Van,197,89.1,32.7,876.6,4.38
2025-01-19,Madinah-Hub,Truck,50,89.1,36.1,385.62,4.54
2025-01-20,Riyadh-Hub,Motorbike,757,91.2,25.2,1595.28,4.16
2025-01-20,Riyadh-Hub,Van,436,91.2,26.8,1829.21,4.2
2025-01-20,Riyadh-Hub,Truck,140,91.2,37.6,1106.58,3.43
2025-01-20,Jeddah-Hub,Motorbike,616,85.0,25.6,1300.31,3.73
2025-01-20,Jeddah-Hub,Van,351,85.0,38.4,1560.05,4.1
2025-01-20,Jeddah-Hub,Truck,100,85.0,56.7,778.6,3.9
2025-01-20,Dammam-Hub,Motorbike,372,94.1,29.4,804.49,4.44
2025-01-20,Dammam-Hub,Van,201,94.1,24.6,814.93,4.12
2025-01-20,Dammam-Hub,Truck,60,94.1,45.2,469.5,4.02
2025-01-20,Makkah-Hub,Motorbike,437,85.0,24.2,943.76,3.7
2025-01-20,Makkah-Hub,Van,300,85.0,33.1,1297.01,3.85
2025-01-20,Makkah-Hub,Truck,85,85.0,48.5,662.6,3.6
2025-01-20,Madinah-Hub,Motorbike,303,89.2,26.5,662.35,3.54
2025-01-20,Madinah-Hub,Van,185,89.2,34.0,766.8,4.39
2025-01-20,Madinah-Hub,Truck,51,89.2,52.7,397.34,3.75
2025-01-21,Riyadh-Hub,Motorbike,718,91.1,19.5,1550.18,4.78
2025-01-21,Riyadh-Hub,Van,505,91.1,29.3,2148.06,3.55
2025-01-21,Riyadh-Hub,Truck,147,91.1,56.5,1098.71,4.09
2025-01-21,Jeddah-Hub,Motorbike,562,89.2,29.0,1197.46,3.58
2025-01-21,Jeddah-Hub,Van,388,89.2,41.2,1644.17,4.1
2025-01-21,Jeddah-Hub,Truck,99,89.2,51.5,775.25,4.03
2025-01-21,Dammam-Hub,Motorbike,321,92.6,25.7,664.94,4.52
2025-01-21,Dammam-Hub,Van,219,92.6,36.3,913.69,4.05
2025-01-21,Dammam-Hub,Truck,61,92.6,48.3,482.27,4.1
2025-01-21,Makkah-Hub,Motorbike,439,84.2,30.0,917.75,3.41
2025-01-21,Makkah-Hub,Van,246,84.2,33.9,1016.2,3.86
2025-01-21,Makkah-Hub,Truck,74,84.2,49.1,559.98,3.99
2025-01-21,Madinah-Hub,Motorbike,278,89.0,22.1,584.06,3.96
2025-01-21,Madinah-Hub,Van,170,89.0,48.2,737.72,4.16
2025-01-21,Madinah-Hub,Truck,52,89.0,43.3,402.43,4.34
2025-01-22,Riyadh-Hub,Motorbike,815,92.3,28.4,1713.01,4.19
2025-01-22,Riyadh-Hub,Van,433,92.3,34.6,1931.94,4.3
2025-01-22,Riyadh-Hub,Truck,139,92.3,44.1,1011.31,3.87
2025-01-22,Jeddah-Hub,Motorbike,638,85.8,30.3,1419.36,4.06
2025-01-22,Jeddah-Hub,Van,373,85.8,34.1,1576.38,3.73
2025-01-22,Jeddah-Hub,Truck,111,85.8,48.2,806.12,4.39
2025-01-22,Dammam-Hub,Motorbike,341,91.0,25.6,748.96,4.74
2025-01-22,Dammam-Hub,Van,200,91.0,29.2,832.27,3.9
2025-01-22,Dammam-Hub,Truck,67,91.0,49.0,523.71,3.91
2025-01-22,Makkah-Hub,Motorbike,396,82.0,32.7,872.93,3.91
2025-01-22,Makkah-Hub,Van,285,82.0,40.9,1192.73,4.3
2025-01-22,Makkah-Hub,Truck,75,82.0,58.4,596.48,3.99
2025-01-22,Madinah-Hub,Motorbike,309,92.0,21.2,641.58,3.6
2025-01-22,Madinah-Hub,Van,192,92.0,29.6,795.67,3.99
2025-01-22,Madinah-Hub,Truck,47,92.0,51.2,358.5,4.25
2025-01-23,Riyadh-Hub,Motorbike,745,94.5,23.7,1531.72,4.59
2025-01-23,Riyadh-Hub,Van,516,94.5,33.1,2155.48,4.82
2025-01-23,Riyadh-Hub,Truck,124,94.5,50.2,988.44,4.2
2025-01-23,Jeddah-Hub,Motorbike,556,85.8,20.9,1188.18,3.37
2025-01-23,Jeddah-Hub,Van,394,85.8,31.3,1714.43,4.29
2025-01-23,Jeddah-Hub,Truck,109,85.8,56.8,817.68,4.2
2025-01-23,Dammam-Hub,Motorbike,359,90.1,23.9,797.9,4.11
2025-01-23,Dammam-Hub,Van,196,90.1,36.1,831.13,4.53
2025-01-23,Dammam-Hub,Truck,68,90.1,45.6,499.15,3.72
2025-01-23,Makkah-Hub,Motorbike,420,84.0,20.8,901.81,3.97
2025-01-23,Makkah-Hub,Van,300,84.0,38.7,1330.78,4.39
2025-01-23,Makkah-Hub,Truck,81,84.0,58.2,636.8,3.92
2025-01-23,Madinah-Hub,Motorbike,276,91.3,23.1,565.0,4.34
2025-01-23,Madinah-Hub,Van,192,91.3,34.4,780.75,3.99
2025-01-23,Madinah-Hub,Truck,52,91.3,50.6,412.58,3.79
2025-01-24,Riyadh-Hub,Motorbike,573,94.8,24.5,1274.98,3.87
2025-01-24,Riyadh-Hub,Van,369,94.8,22.2,1615.96,4.47
2025-01-24,Riyadh-Hub,Truck,104,94.8,48.2,760.38,4.11
2025-01-24,Jeddah-Hub,Motorbike,461,86.5,34.3,1016.08,4.06
2025-01-24,Jeddah-Hub,Van,325,86.5,27.1,1356.91,3.99
2025-01-24,Jeddah-Hub,Truck,79,86.5,51.0,602.9,4.02
2025-01-24,Dammam-Hub,Motorbike,282,94.1,16.2,575.32,4.34
2025-01-24,Dammam-Hub,Van,187,94.1,24.3,775.95,4.0
2025-01-24,Dammam-Hub,Truck,52,94.1,57.6,401.01,4.65
2025-01-24,Makkah-Hub,Motorbike,365,88.3,31.4,795.07,3.81
